Tid,Code,SerialCode,ShortMarketCode,StockGroup,Step,Tid,LastPrice,LastPriceEma,Volume,VolumeEma,Time,Hour,Min,Sec,Dir,Bad,Ld,Pd,Spread,Vwap,Twap,Of,Bp1,Bv1,Bq1,Bp2,Bv2,Bq2,Bp3,Bv3,Bq3,Bp4,Bv4,Bq4,Bp5,Bv5,Bq5,Ap1,Av1,Aq1,Ap2,Av2,Aq2,Ap3,Av3,Aq3,Ap4,Av4,Aq4,Ap5,Av5,Aq5,BpA,BvT,BqT,ApA,AvT,AqT,Bp1Ema,Bv1Ema,Bq1Ema,Bp2Ema,Bv2Ema,Bq2Ema,Bp3Ema,Bv3Ema,Bq3Ema,Bp4Ema,Bv4Ema,Bq4Ema,Bp5Ema,Bv5Ema,Bq5Ema,Ap1Ema,Av1Ema,Aq1Ema,Ap2Ema,Av2Ema,Aq2Ema,Ap3Ema,Av3Ema,Aq3Ema,Ap4Ema,Av4Ema,Aq4Ema,Ap5Ema,Av5Ema,Aq5Ema,BpAEma,BvTEma,BqTEma,ApAEma,AvTEma,AqTEma,Al,Sat
0,TEKTU,E,N,A,0.01,0,0.49,0,10,0,93002,9,30,2,0,0,0,0,0,0,0,0,0.5,10020,2,0.49,1748084,57,0,0,0,0,0,0,0,0,0,0.5,1018329,16,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.49,1758104,59,0.508,1793132,102,0.5,10020,2,0.49,1748084,57,0,0,0,0,0,0,0,0,0,0.5,1018329,16,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.49,1757065.945,58.966,0.508,1793177.542,102.008,0,0
0,TEKTU,E,N,A,0.01,0,0.49,0,200,0,93002,9,30,2,0,0,0,0,0,0,0,0,0.5,10020,2,0.49,1748084,57,0.48,1133990,22,0,0,0,0,0,0,0.5,1018329,16,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.486,2892094,81,0.508,1793132,102,0.5,10020,2,0.49,1748084,57,0.48,1133990,22,0,0,0,0,0,0,0.5,1018329,16,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.486,2891304.69,80.985,0.508,1793177.542,102.008,0,0
0,TEKTU,E,N,A,0.01,0,0.49,0,50,0,93002,9,30,2,0,0,0,0,0,0,0,0,0.5,10020,2,0.49,1748084,57,0.48,1133990,22,0.47,30941,13,0,0,0,0.5,1018329,16,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.486,2923035,94,0.508,1793132,102,0.5,10020,2,0.49,1748084,57,0.48,1133990,22,0.47,30941,13,0,0,0,0.5,1018329,16,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.486,2923043.819,94.004,0.508,1793177.542,102.008,0,0
0,TEKTU,E,N,A,0.01,0,0.49,0,120,0,93002,9,30,2,0,0,0,0,0,0,0,0,0.5,10020,2,0.49,1748084,57,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.5,1018329,16,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.485,2975750,98,0.508,1793132,102,0.5,10020,2,0.49,1748084,57,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.5,1018329,16,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.486,2949396.909,96.002,0.508,1793177.542,102.008,0,0
1,TEKTU,E,N,A,0.01,0,0.49,0,40,0,93002,9,30,2,0,0,0,0,0,0,0,0,0.5,10020,2,0.49,1748084,57,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.5,1008309,15,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.485,2975750,98,0.508,1783112,101,0.5,10020,2,0.49,1748084,57,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.5,1008290.782,14.998,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.486,2949396.909,96.002,0.508,1783093.699,100.998,0,0
0,TEKTU,E,N,A,0.01,0,0.49,0,80,0,93002,9,30,2,0,0,0,0,0.01,0,0,0,0.49,1748084,57,0.49,1748084,57,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.5,1008309,15,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.487,4713814,153,0.508,1783112,101,0.49,1748082.899,57,0.49,1748084,57,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.5,1008290.782,14.998,0.51,437581,32,0.52,55180,19,0.53,263892,19,0.54,18150,16,0.487,4713812.883,153,0.508,1783093.699,100.998,0,0
49281,GUBRF,E,N,A,0.01,49281,6.12,0,60,0,100429,10,4,29,34,0,0,1,0.01,6.079,5.956,-0.131,6.11,42579,8,6.1,62896,38,6.09,63150,16,6.08,71747,17,6.07,27751,13,6.12,14101,3,6.13,40093,14,6.14,48101,11,6.15,70995,26,6.16,121880,31,6.091,268123,92,6.148,295170,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49281,GUBRF,E,N,A,0.01,49281,6.12,0,60,0,100430,10,4,30,34,0,0,1,0.01,6.079,5.956,-0.131,6.11,42579,8,6.1,62896,38,6.09,63150,16,6.08,71747,17,6.07,27751,13,6.12,15601,4,6.13,40093,14,6.14,48101,11,6.15,70995,26,6.16,121880,31,6.091,268123,92,6.148,296670,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49281,GUBRF,E,N,A,0.01,49281,6.12,0,70,0,100430,10,4,30,34,0,0,1,0.01,6.079,5.956,-0.131,6.11,42579,8,6.1,62896,38,6.09,63150,16,6.08,71747,17,6.07,27751,13,6.12,15601,4,6.13,40093,14,6.14,48101,11,6.15,70995,26,6.16,121880,31,6.091,268123,92,6.148,296670,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49294,GUBRF,E,N,A,0.01,49294,6.12,0,100,0,100430,10,4,30,42,0,1,1,0.01,6.079,5.956,-0.132,6.11,42579,8,6.1,62896,38,6.09,63150,16,6.08,71747,17,6.07,27751,13,6.12,15601,4,6.13,40093,14,6.14,48101,11,6.15,70995,26,6.16,121880,31,6.091,268123,92,6.148,296670,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49294,GUBRF,E,N,A,0.01,49294,6.12,0,140,0,100431,10,4,31,42,0,1,1,0.01,6.079,5.956,-0.132,6.11,42579,8,6.1,62896,38,6.09,63150,16,6.08,71747,17,6.07,27751,13,6.12,5601,4,6.13,40093,14,6.14,48101,11,6.15,70995,26,6.16,121880,31,6.091,268123,92,6.149,286670,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36104,TEKTU,E,N,A,0.01,36104,0.5,0.5,20,8844.751,95358,9,53,58,42,0,1,1,0.01,0.5,0.501,-0.999,0.49,1665239,61,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.45,167519,5,0.5,998658,21,0.51,446197,38,0.52,55180,19,0.53,263892,19,0.54,41150,19,0.483,3050404,105,0.508,1805077,116,0.49,1665239.053,61,0.48,1133989.611,22,0.47,30612.516,12.997,0.46,52714.701,4,0.45,167518.319,5,0.5,998655.252,21,0.51,451184.502,37.75,0.52,55180,19,0.53,263892,19,0.54,41152.725,19,0.483,3050404.053,105,0.508,1810075.626,116,0,0
36104,TEKTU,E,N,A,0.01,36104,0.5,0.5,110,8844.751,95358,9,53,58,42,0,1,1,0.01,0.5,0.501,-0.999,0.49,1665239,61,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.45,167519,5,0.5,998658,21,0.51,446197,38,0.52,55180,19,0.53,263892,19,0.54,41150,19,0.483,3050404,105,0.508,1805077,116,0.49,1665239.053,61,0.48,1133989.611,22,0.47,30612.516,12.997,0.46,52714.701,4,0.45,167518.319,5,0.5,998655.252,21,0.51,451184.502,37.75,0.52,55180,19,0.53,263892,19,0.54,41152.725,19,0.483,3050404.053,105,0.508,1810075.626,116,0,0
38455,TEKTU,E,N,A,0.01,38455,0.5,0.5,30,4427.376,95444,9,54,44,42,0,1,1,0.01,0.5,0.501,-0.999,0.49,1665239,61,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.45,167519,5,0.5,998658,21,0.51,446197,38,0.52,55180,19,0.53,263892,19,0.54,41150,19,0.483,3050404,105,0.508,1805077,116,0.49,1665239.053,61,0.48,1133989.611,22,0.47,30612.516,12.997,0.46,52714.701,4,0.45,167518.319,5,0.5,998655.252,21,0.51,451184.502,37.75,0.52,55180,19,0.53,263892,19,0.54,41152.725,19,0.483,3050404.053,105,0.508,1810075.626,116,0,0
38455,TEKTU,E,N,A,0.01,38455,0.5,0.5,50,4427.376,95518,9,55,18,42,0,1,1,0.01,0.5,0.501,-0.999,0.49,1665239,61,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.45,167519,5,0.5,998648,21,0.51,446197,38,0.52,59180,20,0.53,263892,19,0.54,41150,19,0.483,3050404,105,0.508,1809067,117,0.49,1665239.053,61,0.48,1133989.611,22,0.47,30612.516,12.997,0.46,52714.701,4,0.45,167518.319,5,0.5,998648.002,21,0.51,451184.502,37.75,0.52,59181.047,20,0.53,263892,19,0.54,41152.725,19,0.483,3050404.053,105,0.508,1809068.046,117,0,0
38455,TEKTU,E,N,A,0.01,38455,0.5,0.5,100,4427.376,95550,9,55,50,42,0,1,1,0.01,0.5,0.501,-0.999,0.49,1665239,61,0.48,1133990,22,0.47,30941,13,0.46,52715,4,0.45,167519,5,0.5,998648,21,0.51,451197,39,0.52,59180,20,0.53,263892,19,0.54,41150,19,0.483,3050404,105,0.508,1814067,118,0.49,1665239.053,61,0.48,1133989.611,22,0.47,30612.516,12.997,0.46,52714.701,4,0.45,167518.319,5,0.5,998648.002,21,0.51,451203.249,39.625,0.52,59181.047,20,0.53,263892,19,0.54,41152.725,19,0.483,3050404.053,105,0.508,1816566.477,118.5,0,0
